Age [ka BP]	Sea level [m NN] (Calculated)	Speleo_age
540	-59	541.074
541	-55.2	542.227
542	-51.7	543.3786
543	-53.7	544.5308
544	-53.9	545.6835
545	-53.7	546.8364
546	-55	547.989
547	-57.4	549.1417
548	-59.5	550.2943
549	-62.1	551.4453
550	-62.8	552.5985
551	-60	553.6315
552	-58.3	554.6635
553	-59.8	555.6965
554	-61.1	556.7285
555	-58.4	557.893
556	-52.4	559.0554
557	-46.5	560.2199
558	-40.4	561.3862
559	-37.9	562.5498
560	-36	563.7126
561	-35.4	564.8776
562	-34.8	566.0412
563	-33.4	567.2048
564	-30.1	568.3708
565	-26.7	569.5357
566	-19.6	570.7005
567	-13.9	571.8655
568	-13.3	572.8809
569	-11.6	573.8984
570	-9	574.9125
571	-8.1	575.9293
572	-6.6	576.9455
573	-8.3	577.9615
574	-8.8	578.9773
575	-12	579.9919
576	-12.3	581.0054
577	-11.6	582.0221
578	-13.8	583.0415
579	-23.3	583.6622
580	-31.9	584.2836
581	-38.3	584.9042
582	-44	585.5248
583	-50.1	586.1461
584	-53.3	586.7678
585	-54.4	587.3885
586	-49.9	588.3855
587	-47.1	589.3815
588	-45.5	590.3765
589	-39	591.3735
590	-33.1	592.3685
591	-30	593.3645
592	-28.9	594.3595
593	-30.3	595.3565
594	-29.8	596.3505
595	-26.3	597.3475
596	-23.4	598.3425
597	-24	599.3385
598	-27.5	600.3325
599	-33	601.3285
600	-41.3	602.3205
601	-41.1	603.3195
602	-39.3	604.906
603	-37.8	606.4953
604	-33.9	608.0847
605	-24	609.6722
606	-16.2	611.2626
607	-14.2	612.8532
608	-15.1	614.4433
609	-17.7	616.0317
610	-17.5	617.6224
611	-18.5	619.2127
612	-18.1	620.8036
613	-12.5	622.3929
614	-9	623.9845
615	-11.2	625.5721
616	-16.7	627.1635
617	-29.3	627.9134
618	-43.3	628.6639
619	-57.9	629.4116
620	-71.2	630.1616
621	-79.5	630.9112
622	-86.5	631.6605
623	-94.1	632.4102
624	-97.8	633.16
625	-100.1	633.91
626	-105.8	634.6602
627	-109.8	635.4105
628	-107.6	636.5472
629	-105.4	637.685
630	-104.8	638.8227
631	-102.5	639.9605
632	-100.1	641.0982
633	-100	642.2349
634	-103.4	643.3734
635	-107.7	644.5126
636	-109.8	645.6517
637	-104	646.7909
638	-100.6	647.928
639	-98.7	649.0663
640	-93.7	650.2039
641	-92.1	651.3413
642	-89.1	652.4814
643	-85.3	653.6193
644	-82.4	654.7547
645	-82.7	655.8928
646	-86.6	657.032
647	-88.1	658.1728
648	-86.4	659.3112
649	-80.2	660.4462
650	-79.9	661.5795
651	-82.4	662.7161
652	-85.1	663.8421
653	-84.3	664.9804
654	-78.2	666.1276
655	-77.2	667.271
656	-82.7	668.4106
657	-85.2	669.5484
658	-83.5	670.6856
659	-78.4	671.8226
660	-75.2	672.958
661	-77.6	674.0785
662	-79.2	675.228
663	-80.2	676.3712
664	-79.3	677.509
665	-75	678.6446
666	-72.4	679.7846
667	-69.8	680.9223
668	-66.7	682.0627
669	-62.6	683.1981
670	-61.5	684.3353
671	-61.9	685.4721
672	-65.6	686.6032
673	-67.2	687.7475
674	-62.6	688.8242
675	-57	689.9016
676	-53.5	690.9786
677	-50.1	692.0558
678	-45.5	693.1324
679	-42.2	694.2089
680	-38.4	695.2865
681	-34	696.3631
682	-28.8	697.4394
683	-24.4	698.5152
684	-21.3	699.5924
685	-17.8	700.6672
686	-12.6	701.7421
687	-9.1	702.8275
688	-11.4	703.4715
689	-13	704.1145
690	-15.6	704.7575
691	-15.6	705.4005
692	-13.4	706.0445
693	-12.4	706.6885
694	-12.3	707.3325
695	-10.6	707.9775
696	-9.9	708.6215
697	-11.8	709.2645
698	-15.5	709.9085
699	-19.1	710.5525
700	-21.3	711.1965
701	-23.2	711.8395
702	-26.9	712.4835
703	-30	713.1255
704	-31.2	713.7705
705	-31.9	714.4135
706	-36.7	715.0575
707	-48.3	715.7015
708	-57.7	716.3445
709	-56.9	716.9885
710	-57.9	717.6315
711	-64.7	718.2755
712	-68	718.9175
713	-71.4	719.5605
714	-80	720.2045
715	-82.2	720.8475
716	-83.2	721.4905
717	-82.1	722.1345
718	-86.1	722.7795
719	-90.2	723.4225
720	-88.9	724.0225
721	-82.3	724.6216
722	-76.7	725.222
723	-70.2	725.8218
724	-66.7	726.4223
725	-66	727.022
726	-63.3	727.6224
727	-52	728.2223
728	-44.2	728.8235
729	-43.9	729.8071
730	-44.3	730.7923
731	-43.8	731.7763
732	-41.8	732.7595
733	-40	733.7435
734	-42	734.7281
735	-49.7	735.7117
736	-50	736.6973
737	-48.2	737.6815
738	-47.7	738.6655
739	-52.7	739.03
740	-56.4	739.3933
741	-58.8	739.7583
742	-61.8	740.1231
743	-64.8	740.4879
